route_id,assessment_date,origin,destination,vessel_class,cargo_type,source_name,data_type,mvp_core,is_east_coast_india,base_route_freight_rate,freight_rate_unit,scenario,current_5tc,scenario_5tc,market_multiplier,scenario_route_freight_rate,cargo_quantity_mt,distance_nm,distance_source,speed_knots,sea_days,port_days,total_voyage_days,bunker_consumption_mt_per_day,fuel_consumption_mt,daily_opex_usd,other_voyage_cost_usd,assumption_flag,bunker_price_usd_per_mt,bunker_reference_date,bunker_cost_usd,opex_cost_usd,total_voyage_cost_usd,freight_revenue_usd,estimated_profit_usd,route_feasibility,economics_method,market_scaling_assumption
10,2022-02-09,Indonesia,"Paradip, India",Supramax,thermal coal,S&P Global Commodity Insights,formal assessment,Yes,Yes,21.3,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,16.35834516702663,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,893574.6047488297,530059.9797488297,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
10,2022-02-09,Indonesia,"Paradip, India",Supramax,thermal coal,S&P Global Commodity Insights,formal assessment,Yes,Yes,21.3,$/mt,base,41155.0,41155.0,1.0,21.3,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1163512.5,799997.875,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
10,2022-02-09,Indonesia,"Paradip, India",Supramax,thermal coal,S&P Global Commodity Insights,formal assessment,Yes,Yes,21.3,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,30.456649288083675,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1663694.4673615708,1300179.8423615708,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
11,2022-04-28,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,ISM Report,reported fixture,No,Yes,27.85,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,21.388728305243742,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1574745.1214735706,1211230.4964735706,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
11,2022-04-28,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,ISM Report,reported fixture,No,Yes,27.85,$/mt,base,41155.0,41155.0,1.0,27.85,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,2050456.25,1686941.625,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
11,2022-04-28,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,ISM Report,reported fixture,No,Yes,27.85,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,39.82242641657889,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,2931926.144920621,2568411.519920621,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
13,2022-08-04,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,KSI-BHP Charter Party Fixture Note,reported fixture,No,No,26.5,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,20.35193178057304,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1111724.2735138023,748209.6485138023,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
13,2022-08-04,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,KSI-BHP Charter Party Fixture Note,reported fixture,No,No,26.5,$/mt,base,41155.0,41155.0,1.0,26.5,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1447562.5,1084047.875,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
13,2022-08-04,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,KSI-BHP Charter Party Fixture Note,reported fixture,No,No,26.5,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,37.89207540536232,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,2069854.6190179167,1706339.9940179167,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
14,2024-04-01,"East Kalimantan, Indonesia","Paradip, India",Supramax,thermal coal,OfBusiness / Coal Market Intel,formal assessment,Yes,Yes,15.0,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,11.519961385230022,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,629277.89066819,265763.26566818997,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
14,2024-04-01,"East Kalimantan, Indonesia","Paradip, India",Supramax,thermal coal,OfBusiness / Coal Market Intel,formal assessment,Yes,Yes,15.0,$/mt,base,41155.0,41155.0,1.0,15.0,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,819375.0,455860.375,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
14,2024-04-01,"East Kalimantan, Indonesia","Paradip, India",Supramax,thermal coal,OfBusiness / Coal Market Intel,formal assessment,Yes,Yes,15.0,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,21.44834456907301,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1171615.8220856132,808101.1970856132,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
