candidate_id,imo,mmsi,vessel_name,vessel_dwt,vessel_dwt_class,route_id,origin,destination,route_vessel_class,cargo_type,class_match,dwt_match,vessel_lat,vessel_lon,origin_latitude,origin_longitude,destination_latitude,destination_longitude,reposition_distance_nm,route_distance_nm,ais_speed_knots,selected_speed_knots,speed_source,reposition_hours,sea_hours,port_days,total_voyage_hours,observation_count,route_freight_rate,freight_rate_unit,cargo_quantity_mt,typical_dwt_min,typical_dwt_max,average_dwt_assumption,bunker_mt_per_day,daily_opex_usd,other_voyage_cost_usd,route_distance_source,route_distance_quality,match_status,candidate_usable
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,23,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,,,-23.8292,151.58686,-28.7707857,32.0577775,14.2592415,80.0564758,6098.925678200851,4164.634114888308,0.1,12.0,ROUTE_SPEED,514.2438065167375,347.05284290735904,2.0,909.2966494240966,2.0,19.55,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,12,Mozambique (Beira / Maputo),East Coast India,Handysize,coking coal,,,-23.8292,151.58686,-25.966213,32.56745,20.286946,86.6739979,6173.977686929961,4601.384016575973,0.1,12.0,ROUTE_SPEED,520.4981405774968,383.4486680479977,2.0,951.9468086254944,2.0,43.75,$/mt,,,,,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,coal,,,-23.8292,151.58686,45.2158646,36.7191326,17.6935526,83.2921297,7438.968610265888,5565.87430627969,0.1,12.0,ROUTE_SPEED,625.9140508554907,463.82285885664083,2.0,1137.7369097121316,2.0,19.5,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,coal / coking coal,,,-23.8292,151.58686,36.9507552,-76.4114187,20.286946,86.6739979,8228.967447988267,9913.44136694391,0.1,12.0,ROUTE_SPEED,691.7472873323555,826.1201139119926,2.0,1565.867401244348,2.0,44.35,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9565546,9565546,351733000,CHESAPEAKE HIGHWAY,,UNKNOWN,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,,,-23.86656,151.57271,-21.298313,149.2693543,17.6935526,83.2921297,200.1944673048224,4926.710066752748,0.1,12.0,ROUTE_SPEED,22.682872275401866,410.5591722293957,2.0,481.24204450479755,2.0,47.0,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9565546,9565546,351733000,CHESAPEAKE HIGHWAY,,UNKNOWN,2,"Hay Point, Australia","Paradip, India",Panamax,coking coal,,,-23.86656,151.57271,-21.298313,149.2693543,20.286946,86.6739979,200.1944673048224,4899.001585207413,0.1,12.0,ROUTE_SPEED,22.682872275401866,408.25013210061775,2.0,478.9330043760196,2.0,13.8,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9565546,9565546,351733000,CHESAPEAKE HIGHWAY,,UNKNOWN,4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,,,-23.86656,151.57271,-21.298313,149.2693543,17.6935526,83.2921297,200.1944673048224,4926.710066752748,0.1,12.0,ROUTE_SPEED,22.682872275401866,410.5591722293957,2.0,481.24204450479755,2.0,23.3,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9565546,9565546,351733000,CHESAPEAKE HIGHWAY,,UNKNOWN,5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,,,-23.86656,151.57271,-21.298313,149.2693543,20.286946,86.6739979,200.1944673048224,4899.001585207413,0.1,12.0,ROUTE_SPEED,22.682872275401866,408.25013210061775,2.0,478.9330043760196,2.0,21.1,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9565546,9565546,351733000,CHESAPEAKE HIGHWAY,,UNKNOWN,11,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,,,-23.86656,151.57271,-21.298313,149.2693543,17.6935526,83.2921297,200.1944673048224,4926.710066752748,0.1,12.0,ROUTE_SPEED,22.682872275401866,410.5591722293957,2.0,481.24204450479755,2.0,27.85,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9565546,9565546,351733000,CHESAPEAKE HIGHWAY,,UNKNOWN,20,East Coast Australia,East Coast India,Panamax,coal,,,-23.86656,151.57271,-27.4689623,153.0235009,20.286946,86.6739979,230.0907038585213,5329.775100266468,0.1,12.0,ROUTE_SPEED,25.174225321543442,444.1479250222057,2.0,517.3221503437492,2.0,17.7,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9565546,9565546,351733000,CHESAPEAKE HIGHWAY,,UNKNOWN,17,"Queensland, Australia","Haldia, India",Panamax,coking coal,,,-23.86656,151.57271,-22.1646782,144.5844903,22.028124,88.0632655,399.4102751190015,4732.350582884308,0.1,12.0,ROUTE_SPEED,39.284189593250126,394.3625485736923,2.0,481.64673816694244,2.0,20.3,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
