observation_id,source_file,source_file_type,api_snapshot_timestamp,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,vtype7_bulk_candidate,lat,lon,speed,course,nav_status,destination,zone_name,source,raw_record_index,exact_duplicate_observation,imo_observation_sequence,previous_api_snapshot_timestamp,observation_interval_hours,previous_lat,previous_lon,position_changed
zone_australia_gladstone_hay_point_20260828T042118Z.json_12,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:08:02+00:00,73.26666666666667,9599078,311001257,POPEYE,7,True,-23.81556,151.2388,0.0,138.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,12,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.81556,151.2388,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_0,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:08:00+00:00,68.25,9603398,373033000,CAPE RAINBOW,7,True,-23.79231,151.53191,3.9,208.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,0,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_1,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:08:00+00:00,73.3,9603398,373033000,CAPE RAINBOW,7,True,-23.79231,151.53191,3.9,208.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,1,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.79231,151.53191,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_22,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:07:49+00:00,68.43333333333334,9607136,564856000,RTM DHAMBUL,7,True,-23.83336,151.51863,0.0,251.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,22,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_23,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:07:49+00:00,73.48333333333333,9607136,564856000,RTM DHAMBUL,7,True,-23.83336,151.51863,0.0,251.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,23,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.83336,151.51863,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_4,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:05:23+00:00,70.86666666666666,9614919,431812000,SG UNITED,7,True,-23.8134,151.46051,0.2,149.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,4,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_5,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:05:23+00:00,75.91666666666667,9614919,431812000,SG UNITED,7,True,-23.8134,151.46051,0.2,149.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,5,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.8134,151.46051,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_103,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 02:58:16+00:00,77.98333333333333,9631151,503788000,MT LARCOM,8,False,-23.8519,151.31501,0.0,110.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,103,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_103,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 02:58:16+00:00,83.03333333333333,9631151,503788000,MT LARCOM,8,False,-23.8519,151.31501,0.0,110.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,103,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.8519,151.31501,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_100,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:57:06+00:00,19.15,9633159,636025609,MAIZURU KICHIJO,7,True,-23.85197,151.31129,0.0,261.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,100,True,1,,,,,True
