report_date,target_5tc,status,evidence,source,has_5tc,has_capesize,has_bci,has_ultramax,has_supramax,semantic_category
2022-01-17,12407.0,GOOD_EXPLICIT,"Dry Bulk: Week 2 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 2 17 January 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market endured a somewhat traditional post-holiday Q1 drop as the 5TC descended -7760 over the week to settle at $12,407.",https://www.drycargomag.com/dry-bulk-week-2-2022,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2022-01-31,8918.0,GOOD_EXPLICIT,"The 5TC weighted average opened the week at $7,390, descended to a low of $5,826 before settling at week’s end to $8,918.",https://www.drycargomag.com/dry-bulk-week-4-2022,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT
2022-02-07,10302.0,GOOD_EXPLICIT,"Dry Bulk: Week 5 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 5 07 February 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market traded sideways this week as the 5TC closed at $10,302, an improvement of +1384 over the week.",https://www.drycargomag.com/dry-bulk-week-5-2022,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2022-02-14,15397.0,GOOD_EXPLICIT,"Activity was clearly seen to be elevated as the Capesize 5TC rose +5095 over the week to close on a mild Friday at $15,397.",https://www.drycargomag.com/dry-bulk-report-week-6-2022,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2022-02-21,13888.0,GOOD_EXPLICIT,"Closing Friday some reprieve was found as the Capesize 5TC closed on a positive up note +1888 to settle at $13,888.",https://www.drycargomag.com/dry-bulk-week-7-2022,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2022-02-28,14026.0,GOOD_EXPLICIT,"The Capesize 5TC reached a high of $18,181 Wednesday before shedding -4155 by weeks end to close at $14,026.",https://www.drycargomag.com/dry-bulk-report-week-8-2022,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2022-03-14,22195.0,GOOD_EXPLICIT,"Dry Bulk: Week 10 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 10 / 2022 14 March 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market appeared to get caught up in the wider market rallies this week as geopolitical tensions run high, with the 5TC lifting $8635 over the week to settle at $22,195.",https://www.drycargomag.com/dry-bulk-week-10-2022,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2022-03-28,15648.0,GOOD_EXPLICIT,"Dry Bulk: Week 12/2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 12/2022 28 March 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market had to contend with volatile bunker concerns once again as the 5TC lost $5956 week on week to close at $15,648.",https://www.drycargomag.com/dry-bulk-week-122022,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2022-04-04,15460.0,GOOD_EXPLICIT,"However, by Friday green shoots were beginning to emerge as the 5TC saw a low of $13,596 yet closed at $15,460.",https://www.drycargomag.com/dry-bulk-week-13-2022,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT
2022-05-16,32733.0,GOOD_EXPLICIT,"The 5TC ended the week at $32,733, a rise of 8731 week on week.",https://www.drycargomag.com/dry-bulk-week-19-2022,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT
