report_date,old_extracted,five_tc_sentences,source
2025-11-24,27000.0,"VALUES=[27000.0, 30000.0] | The BCI 5TC climbed steadily from the high $27,000s to just over $30,000, reinforcing a firming tone despite Thursday’s slowdown.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report
2026-01-12,27652.0,"VALUES=[27652.0, 23947.0] | The BCI 182 5TC fell sharply from $27,652 to $23,947, reflecting mounting pressure from lengthening tonnage lists and overall weaker sentiment.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-226
2026-01-19,13120.0,,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-326
2026-01-26,13688.0,,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-0426
2026-02-23,16543.0,,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-826
2026-03-02,17481.0,,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-926
2026-03-10,17656.0,,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1026
2026-03-16,16546.0,,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1126
2026-03-23,17132.0,,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1226
2026-03-30,15800.0,,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1326
2026-04-20,6000.0,"VALUES=[6000.0] | The BCI 182 5TC gained over $6,000 across the week, underpinned by improving sentiment and tightening fundamentals.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1626
2026-04-27,39000.0,"VALUES=[39000.0] | Baltic Exchange: Dry Bulk Weekly Report About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Baltic Exchange: Dry Bulk Weekly Report 27 April 2026 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The market began the week with strong upward momentum, briefly pushing the BCI 182 5TC to the cusp of $39,000, supported primarily by strength in the Atlantic basin.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1726
2026-05-11,42649.0,"VALUES=[42649.0, 44941.0, 46610.0] | Overall, the BCI 182 5TC rose from $42,649 on Tuesday to finish the week at $44,941, after peaking at $46,610 on Thursday.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-1926
2026-06-01,50000.0,"VALUES=[50000.0] | Despite a fragmented trading environment caused by public holidays in both the UK and Singapore, the market demonstrated resilience, with the BCI 182 5TC climbing above the $50,000 mark by Thursday.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2226
2026-06-08,50000.0,"VALUES=[50000.0, 44374.0] | Baltic Exchange: Dry Bulk Weekly Report About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Baltic Exchange: Dry Bulk Weekly Report 08 June 2026 Dry Bulk Capesize The market closed the week on a softer footing, with the BCI 182 5TC easing from just under $50,000 at the start of the week to $44,374, reflecting a clear loss of momentum as the week progressed.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2326
2026-06-15,42798.0,"VALUES=[42798.0, 37251.0] | The BCI 182 5TC fell from $42,798 at the start of the week to $37,251 by the close, representing a significant erosion of earnings and underscoring the loss of momentum from the stronger levels seen in late May.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2426
2026-06-22,37631.0,"VALUES=[37631.0, 36756.0] | Having come under pressure through the early part of the week, the market reversed course, with the BCI 182 5TC climbing sharply to close at $37,631, up from $36,756 at the start of the week.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2526
2026-06-29,36946.0,"VALUES=[36946.0, 33014.0] | Overall, the BCI 182 5TC declined from $36,946 to $33,014, leaving the market firmly on the defensive by week’s end.",https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-2626
