imo,vessel_name,route_id,origin,destination,feasible_departure_dates,first_feasible_departure,last_feasible_departure,reposition_distance_nm,reposition_hours,estimated_total_voyage_days
9587350,ANABELA,5,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,193.3606072336658,16.113383936138817,19.010422170859073
9587350,ANABELA,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",2,2026-09-06,2026-09-07,2466.560613827702,205.54671781897517,10.362157106268844
9587350,ANABELA,7,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2529.7224513846804,210.8102042820567,11.557633553074217
9587350,ANABELA,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",2,2026-09-06,2026-09-07,2466.560613827702,205.54671781897517,13.955617670560153
9599078,POPEYE,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",9,2026-08-30,2026-09-07,186.45091415798262,15.537576179831886,19.10663217622482
9599078,POPEYE,10,Indonesia,"Paradip, India",2,2026-09-06,2026-09-07,2320.4778667826204,193.37315556521835,10.95508327835536
9599078,POPEYE,11,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,186.45091415798262,15.537576179831886,19.10663217622482
9599078,POPEYE,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2421.603812498648,201.80031770822066,15.631610646559757
9599078,POPEYE,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2518.3125588483053,209.85937990402545,11.557633553074217
9599078,POPEYE,17,"Queensland, Australia","Haldia, India",9,2026-08-30,2026-09-07,380.86698764315736,31.73891563692978,18.43177285723718
9599078,POPEYE,2,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,186.45091415798262,15.537576179831886,19.010422170859073
9599078,POPEYE,20,East Coast Australia,East Coast India,9,2026-08-30,2026-09-07,239.6696668505581,19.97247223754651,20.506163542591903
9599078,POPEYE,21,Indonesia,East Coast India,2,2026-09-06,2026-09-07,2320.4778667826204,193.37315556521835,10.95508327835536
9599078,POPEYE,22,Indonesia,West Coast India,2,2026-09-06,2026-09-07,2320.4778667826204,193.37315556521835,15.642525104530714
9599078,POPEYE,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2518.3125588483053,209.85937990402545,16.245075379249574
9599078,POPEYE,4,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,186.45091415798262,15.537576179831886,19.10663217622482
9599078,POPEYE,5,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,186.45091415798262,15.537576179831886,19.010422170859073
9599078,POPEYE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",2,2026-09-06,2026-09-07,2454.0318560817223,204.50265467347685,10.362157106268844
9599078,POPEYE,7,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2518.3125588483053,209.85937990402545,11.557633553074217
9599078,POPEYE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",2,2026-09-06,2026-09-07,2454.0318560817223,204.50265467347685,13.955617670560153
9603398,CAPE RAINBOW,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",9,2026-08-30,2026-09-07,195.34384717121796,16.27865393093483,19.10663217622482
9603398,CAPE RAINBOW,10,Indonesia,"Paradip, India",2,2026-09-06,2026-09-07,2333.9960255484393,194.4996687957033,10.95508327835536
9603398,CAPE RAINBOW,11,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,195.34384717121796,16.27865393093483,19.10663217622482
9603398,CAPE RAINBOW,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2435.195580853308,202.932965071109,15.631610646559757
9603398,CAPE RAINBOW,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2531.434413516499,210.95286779304158,11.557633553074217
9603398,CAPE RAINBOW,17,"Queensland, Australia","Haldia, India",9,2026-08-30,2026-09-07,396.2127325575321,33.01772771312768,18.43177285723718
9603398,CAPE RAINBOW,2,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,195.34384717121796,16.27865393093483,19.010422170859073
9603398,CAPE RAINBOW,20,East Coast Australia,East Coast India,9,2026-08-30,2026-09-07,235.04322473924327,19.58693539493694,20.506163542591903
9603398,CAPE RAINBOW,21,Indonesia,East Coast India,2,2026-09-06,2026-09-07,2333.9960255484393,194.4996687957033,10.95508327835536
9603398,CAPE RAINBOW,22,Indonesia,West Coast India,2,2026-09-06,2026-09-07,2333.9960255484393,194.4996687957033,15.642525104530714
