route_id,origin,destination,vessel_class,cargo_type,scenario,alternative_value_usd,sail_value_usd,kill_penalty_threshold_usd,threshold_interpretation,threshold_status
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,base,250000.0,936734.3570464647,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,base,500000.0,936734.3570464647,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,base,1000000.0,936734.3570464647,63265.64295353531,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,bull,0.0,1571171.1270171597,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,bull,250000.0,1571171.1270171597,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,bull,500000.0,1571171.1270171597,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,bull,1000000.0,1571171.1270171597,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,bear,0.0,343938.1880118781,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,bear,250000.0,343938.1880118781,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,bear,500000.0,343938.1880118781,156061.8119881219,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,bear,1000000.0,343938.1880118781,656061.8119881218,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,base,0.0,535418.3226898415,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,base,250000.0,535418.3226898415,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,base,500000.0,535418.3226898415,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,base,1000000.0,535418.3226898415,464581.6773101585,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,bull,0.0,890221.8243796139,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,bull,250000.0,890221.8243796139,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,bull,500000.0,890221.8243796139,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,bull,1000000.0,890221.8243796139,109778.17562038614,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,bear,0.0,315300.77438337053,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,bear,250000.0,315300.77438337053,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,bear,500000.0,315300.77438337053,184699.22561662947,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,bear,1000000.0,315300.77438337053,684699.2256166295,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,base,0.0,508534.48601915536,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,base,250000.0,508534.48601915536,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,base,500000.0,508534.48601915536,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,base,1000000.0,508534.48601915536,491465.51398084464,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,bull,0.0,866587.2816691812,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,bull,250000.0,866587.2816691812,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,bull,500000.0,866587.2816691812,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,bull,1000000.0,866587.2816691812,133412.7183308188,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,bear,0.0,310240.3983496727,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,bear,250000.0,310240.3983496727,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,bear,500000.0,310240.3983496727,189759.60165032733,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,bear,1000000.0,310240.3983496727,689759.6016503273,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,base,0.0,522815.80210232665,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,base,250000.0,522815.80210232665,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,base,500000.0,522815.80210232665,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,base,1000000.0,522815.80210232665,477184.19789767335,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,bull,0.0,916707.8251647009,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,bull,250000.0,916707.8251647009,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,bull,500000.0,916707.8251647009,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,bull,1000000.0,916707.8251647009,83292.17483529914,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,bear,0.0,483178.3499958622,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,bear,250000.0,483178.3499958622,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,bear,500000.0,483178.3499958622,16821.650004137773,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,bear,1000000.0,483178.3499958622,516821.6500041378,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,base,0.0,785002.969064516,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,base,250000.0,785002.969064516,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,base,500000.0,785002.969064516,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,base,1000000.0,785002.969064516,214997.03093548398,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,bull,0.0,1344269.5056263604,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,bull,250000.0,1344269.5056263604,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,bull,500000.0,1344269.5056263604,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,bull,1000000.0,1344269.5056263604,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,bear,0.0,541895.4477203311,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,bear,250000.0,541895.4477203311,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,bear,500000.0,541895.4477203311,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,bear,1000000.0,541895.4477203311,458104.55227966886,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,base,0.0,798336.4482089429,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,base,250000.0,798336.4482089429,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,base,500000.0,798336.4482089429,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,base,1000000.0,798336.4482089429,201663.5517910571,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,bull,0.0,1273509.3172024349,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,bull,250000.0,1273509.3172024349,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
10,Indonesia,"Paradip, India",Supramax,thermal coal,bull,500000.0,1273509.3172024349,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
